EmpId,Satisfaction,Evaluation,number_of_projects,average_montly_hours,time_spent_company,work_accident,Promotion,Department,Salary_INR,Churn
780152,3.8,5.300000000000002,2,157,3,0,0,sales,11053,1
780153,8.0,8.6,5,262,6,0,0,sales,54063,1
780154,1.1,8.8,7,272,4,0,0,sales,61300,1
780155,7.199999999999998,8.7,5,223,5,0,0,sales,20647,1
780156,3.7,5.2,2,159,3,0,0,sales,17808,1
780157,4.1,5.0,2,153,3,0,0,sales,38805,1
780158,1.0,7.7,6,247,4,0,0,sales,32471,1
780159,9.2,8.5,5,259,5,0,0,sales,32472,1
780160,8.9,10.0,5,224,5,0,0,sales,36981,1
780161,4.2,5.300000000000002,2,142,3,0,0,sales,10026,1
780162,4.5,5.4,2,135,3,0,0,sales,36961,1
780163,1.1,8.100000000000001,6,305,4,0,0,sales,24593,1
780164,8.4,9.2,4,234,5,0,0,sales,33366,1
780165,4.1,5.5,2,148,3,0,0,sales,29057,1
780166,3.6,5.6000000000000005,2,137,3,0,0,sales,10212,1
780167,3.8,5.4,2,143,3,0,0,sales,39871,1
780168,4.5,4.699999999999998,2,160,3,0,0,sales,38712,1
780169,7.800000000000002,9.9,4,255,6,0,0,sales,33816,1
780170,4.5,5.1,2,160,3,1,1,sales,38943,1
780171,7.6,8.9,5,262,5,0,0,sales,12361,1
780172,1.1,8.299999999999999,6,282,4,0,0,sales,19083,1
780173,3.8,5.5,2,147,3,0,0,sales,21526,1
780174,0.8999999999999999,9.5,6,304,4,0,0,sales,30876,1
780175,4.6000000000000005,5.699999999999998,2,139,3,0,0,sales,12550,1
780176,4.0,5.300000000000002,2,158,3,0,0,sales,20733,1
780177,8.9,9.2,5,242,5,0,0,sales,11779,1
780178,8.2,8.7,4,239,5,0,0,sales,14147,1
780179,4.0,4.9,2,135,3,0,0,sales,38072,1
780180,4.1,4.6000000000000005,2,128,3,0,0,accounting,18282,1
780181,3.8,5.0,2,132,3,0,0,accounting,35647,1
780182,0.8999999999999999,6.2,6,294,4,0,0,accounting,28747,1
780183,4.5,5.699999999999998,2,134,3,0,0,hr,33321,1
780184,4.0,5.1,2,145,3,0,0,hr,21890,1
780185,4.5,5.5,2,140,3,0,0,hr,38614,1
780186,8.4,8.7,4,246,6,0,0,hr,22718,1
780187,1.0,9.4,6,255,4,0,0,technical,24753,1
780188,3.8,4.6000000000000005,2,137,3,0,0,technical,14691,1
780189,4.5,5.0,2,126,3,0,0,technical,37363,1
780190,1.1,8.9,6,306,4,0,0,technical,22342,1
780191,4.1,5.4,2,152,3,0,0,technical,33430,1
780192,8.7,8.8,5,269,5,0,0,technical,37562,1
780193,4.5,4.8,2,158,3,0,0,technical,30870,1
780194,4.0,4.6000000000000005,2,127,3,0,0,technical,37253,1
780195,1.0,8.0,7,281,4,0,0,technical,33135,1
780196,0.8999999999999999,8.9,6,276,4,0,0,technical,39291,1
780197,8.4,7.4,3,182,4,0,0,technical,22599,1
780198,4.0,5.5,2,147,3,0,0,support,30618,1
780199,5.699999999999998,7.0,3,273,6,0,0,support,38479,1
780200,4.0,5.4,2,148,3,0,0,support,18120,1
780201,4.3,4.699999999999998,2,147,3,0,0,support,24602,1
780202,1.3,7.800000000000002,6,152,2,0,0,support,10009,1
780203,4.4,5.5,2,135,3,0,0,support,24362,1
780204,3.8,5.5,2,134,3,0,0,support,11036,1
780205,3.9,5.4,2,132,3,0,0,support,21703,1
780206,1.0,9.2,7,307,4,0,0,support,16620,1
780207,3.7,4.6000000000000005,2,140,3,0,0,support,22168,1
780208,1.1,9.4,7,255,4,0,0,support,16764,1
780209,1.0,8.100000000000001,6,309,4,0,0,technical,23750,1
780210,3.8,5.4,2,128,3,0,0,technical,12583,1
780211,8.5,10.0,4,225,5,0,0,technical,10110,1
780212,8.5,9.1,5,226,5,0,0,management,74023,1
780213,1.1,9.3,7,308,4,0,0,IT,87983,1
780214,1.0,9.5,6,244,5,0,0,IT,93436,1
780215,3.6,5.6000000000000005,2,132,3,0,0,IT,63971,1
780216,1.1,9.4,6,286,4,0,0,IT,97797,1
780217,8.100000000000001,7.0,6,161,4,0,0,IT,43594,1
780218,4.3,5.4,2,153,3,0,0,product_mng,59898,1
780219,9.0,9.8,4,264,6,0,0,product_mng,70155,1
780220,7.6,8.6,5,223,5,1,0,product_mng,66881,1
780221,4.3,5.0,2,135,3,0,0,product_mng,63399,1
780222,7.4,9.9,2,277,3,0,0,IT,84371,1
780223,0.8999999999999999,7.7,5,275,4,0,0,product_mng,55954,1
780224,4.5,4.9,2,149,3,0,0,product_mng,150574,1
780225,0.8999999999999999,8.7,7,295,4,0,0,product_mng,36325,1
780226,1.1,9.7,6,277,4,0,0,product_mng,90642,1
780227,1.1,7.9,7,306,4,0,0,product_mng,72475,1
780228,1.0,8.299999999999999,6,295,4,0,0,product_mng,44362,1
